RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,SIZE_numeric,FOCUS_numeric,RES_numeric,STATUS_numeric,Region_Africa,Region_Americas,Region_Asia,Region_Europe,Region_Oceania
435.0,428.0,IE University,Spain,Europe,M,FO,HI,C,8.1,601.0,49.3,182.0,46.5,328.0,2.2,701.0,95.2,145.0,100.0,4.0,3.5,701.0,65.6,176.0,4.6,701.0,2,1.0,3,,False,False,False,True,False
436.0,451.0,Iran University of Science and Technology,"Iran, Islamic Republic of",Asia,L,FO,VH,A,7.8,601.0,14.0,584.0,2.7,701.0,98.7,31.0,12.0,701.0,1.5,701.0,53.4,701.0,5.3,701.0,1.6,701.0,3,1.0,4,,False,False,True,False,False
436.0,431.0,Murdoch University,Australia,Oceania,M,CO,VH,A,8.0,601.0,4.5,601.0,5.2,701.0,57.3,216.0,85.6,216.0,73.9,194.0,74.9,410.0,14.8,668.0,11.3,,2,0.0,4,,False,False,False,False,True
436.0,476.0,Universitat Politècnica de València,Spain,Europe,L,CO,VH,A,26.5,335.0,16.3,521.0,36.1,440.0,19.7,559.0,5.5,701.0,25.0,479.0,84.9,248.0,11.7,701.0,76.1,,3,0.0,4,,False,False,False,True,False
439.0,473.0,Vilnius University ,Lithuania,Europe,L,FC,HI,A,19.1,472.0,23.5,405.0,74.7,168.0,3.3,701.0,12.4,701.0,13.6,649.0,75.5,398.0,83.7,105.0,27.1,,3,,3,,False,False,False,True,False
440.0,469.0,Università degli Studi di Pavia,Italy,Europe,L,FC,VH,A,21.7,406.0,7.4,601.0,8.3,701.0,64.6,173.0,6.2,701.0,12.6,666.0,82.7,281.0,13.5,701.0,15.4,,3,,4,,False,False,False,True,False
442.0,409.0,Colorado State University,United States,Americas,L,CO,VH,A,18.3,498.0,20.4,447.0,60.9,236.0,17.1,599.0,18.5,621.0,3.7,701.0,78.4,351.0,22.2,517.0,70.9,,3,0.0,4,,False,True,False,False,False
442.0,421.0,Novosibirsk State University,Russia,Europe,M,CO,VH,A,24.7,354.0,18.4,480.0,91.0,81.0,9.5,701.0,6.3,701.0,57.0,259.0,56.5,671.0,5.8,701.0,5.3,701.0,2,0.0,4,,False,False,False,True,False
442.0,505.0,Università Cattolica del Sacro Cuore,Italy,Europe,L,FO,VH,B,24.2,360.0,35.5,267.0,27.6,552.0,19.2,567.0,15.5,661.0,7.1,701.0,60.5,628.0,32.3,393.0,54.8,,3,1.0,4,,False,False,False,True,False
445.0,415.0,James Cook University,Australia,Oceania,M,FC,VH,A,14.4,601.0,6.5,601.0,17.5,701.0,46.9,292.0,36.7,434.0,16.0,607.0,76.0,389.0,6.7,701.0,88.9,,2,,4,,False,False,False,False,True
445.0,396.0,Justus-Liebig-University Giessen,Germany,Europe,L,FC,VH,A,12.7,601.0,5.9,601.0,1.9,701.0,79.3,113.0,14.2,679.0,18.8,569.0,83.9,264.0,10.5,701.0,11.0,,3,,4,,False,False,False,True,False
445.0,485.0,Universitat de Valencia,Spain,Europe,XL,FC,VH,A,35.6,246.0,11.0,601.0,12.0,701.0,19.9,557.0,2.1,701.0,24.3,484.0,89.3,180.0,8.4,701.0,79.3,,4,,4,,False,False,False,True,False
448.0,491.0,Dalian University of Technology,China (Mainland),Asia,XL,CO,VH,A,9.6,601.0,3.8,601.0,18.1,701.0,88.1,82.0,11.5,701.0,2.9,701.0,55.9,680.0,14.4,678.0,8.0,701.0,4,0.0,4,,False,False,True,False,False
448.0,494.0,Hunan University ,China (Mainland),Asia,XL,CO,VH,A,7.9,601.0,10.3,601.0,15.2,701.0,90.6,74.0,4.6,701.0,1.8,701.0,46.5,701.0,23.1,495.0,2.7,701.0,4,0.0,4,,False,False,True,False,False
448.0,382.0,Université de Montpellier,France,Europe,XL,FO,VH,A,18.6,486.0,3.4,601.0,8.5,701.0,57.2,217.0,22.8,562.0,29.9,431.0,99.5,6.0,13.1,701.0,17.3,561.0,4,1.0,4,,False,False,False,True,False
451.0,486.0,University of Electronic Science and Technology of China,China (Mainland),Asia,XL,FO,VH,A,5.3,601.0,5.0,601.0,8.2,701.0,99.1,25.0,3.2,701.0,2.5,701.0,73.3,433.0,7.2,701.0,2.3,701.0,4,1.0,4,,False,False,True,False,False
452.0,473.0,Beihang University (former BUAA),China (Mainland),Asia,L,CO,VH,A,12.1,601.0,7.8,601.0,41.5,375.0,72.1,147.0,7.0,701.0,4.5,701.0,51.2,701.0,12.8,701.0,4.3,701.0,3,0.0,4,,False,False,True,False,False
452.0,431.0,National Taiwan Normal University,Taiwan,Asia,M,CO,VH,A,34.7,254.0,20.5,444.0,62.9,219.0,5.4,701.0,14.5,673.0,25.2,478.0,23.3,701.0,17.3,612.0,49.8,,2,0.0,4,,False,False,True,False,False
452.0,410.0,University of Kansas,United States,Americas,L,FC,VH,A,14.4,601.0,12.6,601.0,86.7,99.0,9.2,701.0,60.3,322.0,7.2,701.0,84.6,255.0,28.2,435.0,32.4,427.0,3,,4,,False,True,False,False,False
452.0,431.0,University of Stirling,United Kingdom,Europe,M,CO,VH,A,11.2,601.0,9.4,601.0,9.3,701.0,30.3,436.0,76.9,253.0,81.3,168.0,61.6,606.0,15.8,638.0,76.1,,2,0.0,4,,False,False,False,True,False
456.0,415.0,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,Europe,M,FO,VH,A,16.6,541.0,23.6,404.0,94.6,64.0,12.0,692.0,31.1,489.0,45.5,324.0,41.7,701.0,17.6,605.0,1.0,701.0,2,1.0,4,,False,False,False,True,False
456.0,465.0,Umea University,Sweden,Europe,L,FC,VH,A,19.9,447.0,11.6,601.0,71.8,182.0,15.2,631.0,51.1,362.0,21.8,518.0,78.0,360.0,9.0,701.0,26.3,,3,,4,,False,False,False,True,False
456.0,421.0,Université de Strasbourg,France,Europe,XL,FC,VH,A,39.1,219.0,10.3,601.0,5.1,701.0,20.7,549.0,34.2,469.0,35.9,384.0,90.7,161.0,20.4,558.0,5.4,701.0,4,,4,,False,False,False,True,False
456.0,486.0,University of Guelph,Canada,Americas,L,CO,VH,A,12.8,601.0,12.8,601.0,5.0,701.0,50.1,261.0,46.4,385.0,14.3,636.0,65.2,552.0,11.2,701.0,82.9,,3,0.0,4,,False,True,False,False,False
